sample,cell,mutant,estrogen,dox
IRJ7,T47D,Y537S,noE2,noDOX
IRJ8,T47D,Y537S,noE2,noDOX
IRJ9,T47D,Y537S,noE2,noDOX
IRJ10,T47D,Y537S,noE2,DOX
IRJ11,T47D,Y537S,noE2,DOX
IRJ12,T47D,Y537S,noE2,DOX
IRJ13,T47D,Y537S,E2,noDOX
IRJ14,T47D,Y537S,E2,noDOX
IRJ15,T47D,Y537S,E2,noDOX
IRJ16,T47D,Y537S,E2,DOX
IRJ17,T47D,Y537S,E2,DOX
IRJ18,T47D,Y537S,E2,DOX
IRJ25,MCF7,Y537S,noE2,noDOX
IRJ26,MCF7,Y537S,noE2,noDOX
IRJ27,MCF7,Y537S,noE2,noDOX
IRJ28,MCF7,Y537S,noE2,DOX
IRJ29,MCF7,Y537S,noE2,DOX
IRJ30,MCF7,Y537S,noE2,DOX
IRJ31,MCF7,Y537S,E2,noDOX
IRJ32,MCF7,Y537S,E2,noDOX
IRJ33,MCF7,Y537S,E2,noDOX
IRJ34,MCF7,Y537S,E2,DOX
IRJ35,MCF7,Y537S,E2,DOX
IRJ36,MCF7,Y537S,E2,DOX
IRJ43,MCF7,Y537N,noE2,noDOX
IRJ44,MCF7,Y537N,noE2,noDOX
IRJ45,MCF7,Y537N,noE2,noDOX
IRJ46,MCF7,Y537N,noE2,DOX
IRJ47,MCF7,Y537N,noE2,DOX
IRJ48,MCF7,Y537N,noE2,DOX
IRJ49,MCF7,Y537N,E2,noDOX
IRJ50,MCF7,Y537N,E2,noDOX
IRJ51,MCF7,Y537N,E2,noDOX
IRJ52,MCF7,Y537N,E2,DOX
IRJ53,MCF7,Y537N,E2,DOX
IRJ54,MCF7,Y537N,E2,DOX
IRJ61,MCF7,D538G,noE2,noDOX
IRJ62,MCF7,D538G,noE2,noDOX
IRJ63,MCF7,D538G,noE2,noDOX
IRJ64,MCF7,D538G,noE2,DOX
IRJ65,MCF7,D538G,noE2,DOX
IRJ66,MCF7,D538G,noE2,DOX
IRJ67,MCF7,D538G,E2,noDOX
IRJ68,MCF7,D538G,E2,noDOX
IRJ69,MCF7,D538G,E2,noDOX
IRJ70,MCF7,D538G,E2,DOX
IRJ71,MCF7,D538G,E2,DOX
IRJ72,MCF7,D538G,E2,DOX